City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,harper,4.38,-7.72,76.14,87,54,10.6,LR,1600816345
88,hithadhoo,-0.6,73.08,81.73,67,47,6.53,MV,1600816345
89,sobolevo,54.43,31.9,52.12,90,0,6.11,RU,1600816345
90,saskylakh,71.92,114.08,42.22,73,0,15.64,RU,1600816345
91,itarema,-2.92,-39.92,78.15,77,0,17.76,BR,1600816110
92,cape town,-33.93,18.42,57.99,87,24,12.75,ZA,1600816345
93,birjand,32.87,59.22,57.2,44,0,11.41,IR,1600816346
94,longyearbyen,78.22,15.64,26.56,92,0,3.0,SJ,1600816346
95,plainview,40.78,-73.47,68.0,34,1,5.82,US,1600816346
96,corbelia,-24.8,-53.31,65.35,74,65,2.95,BR,1600816346
97,seoul,37.57,126.98,60.8,59,20,4.7,KR,1600816154
98,qena,26.16,32.72,87.8,40,0,5.82,EG,1600816346
99,lavrentiya,65.58,-171.0,39.99,84,92,5.88,RU,1600816347
100,thompson,55.74,-97.86,55.4,66,75,9.17,CA,1600816347
101,yellowknife,62.46,-114.35,55.0,81,20,19.46,CA,1600816347
102,qaanaaq,77.48,-69.36,13.17,79,0,7.94,GL,1600816347
103,bluff,-46.6,168.33,57.0,79,40,10.0,NZ,1600816347
104,houma,29.6,-90.72,77.0,100,90,11.41,US,1600816155
105,butaritari,3.07,172.79,82.87,77,25,18.68,KI,1600816348
106,avarua,-21.21,-159.78,80.6,83,55,13.87,CK,1600816051
107,atherton,53.52,-2.49,60.01,85,97,1.99,GB,1600816348
108,alice springs,-23.7,133.88,64.4,27,0,14.99,AU,1600816348
109,shelburne,44.08,-80.2,71.6,43,1,6.93,CA,1600816349
110,aden,12.78,45.04,87.89,71,87,10.92,YE,1600816349
111,geraldton,-28.77,114.6,50.0,93,0,4.7,AU,1600816349
112,ko samui,9.54,99.94,80.6,88,20,11.77,TH,1600816349
113,castro,-24.79,-50.01,51.58,86,24,9.8,BR,1600816350
114,cherskiy,68.75,161.3,36.32,83,100,5.44,RU,1600816350
115,waverly,42.74,-84.62,75.2,38,1,10.29,US,1600816350
116,srandakan,-7.94,110.25,76.41,86,39,3.15,ID,1600816350
117,luderitz,-26.65,15.16,66.85,27,0,4.38,NA,1600816350
118,bosaso,11.28,49.18,88.18,56,86,5.46,SO,1600816350
119,kozan,37.46,35.82,79.0,83,40,4.7,TR,1600816351
120,biloela,-24.42,150.5,71.83,77,100,4.25,AU,1600816351
121,ilulissat,69.22,-51.1,21.2,73,41,2.24,GL,1600816351
122,santa rosa,14.31,121.11,79.0,94,75,1.12,PH,1600816351
123,hun,29.13,15.95,76.86,33,0,8.75,LY,1600816351
124,lorengau,-2.02,147.27,84.38,74,93,9.31,PG,1600816352
